,track_id,genre_top,genres_all,split,subset
1806,3459,9,"[9, 63]",training,medium
1807,3460,9,"[9, 63]",training,medium
1808,3461,9,"[9, 63]",training,medium
1809,3462,9,"[9, 63]",training,medium
1810,3463,9,"[9, 63]",training,medium
1811,3464,9,"[9, 63]",training,medium
1812,3465,9,"[9, 63]",training,medium
1814,3467,12,"[25, 12, 111]",training,medium
1815,3468,12,"[25, 12, 111]",training,medium
1816,3469,12,"[25, 12, 111]",training,medium
1817,3470,12,"[25, 12, 111]",training,medium
1819,3472,12,"[25, 12, 111]",training,medium
1820,3473,12,"[25, 12, 111]",training,medium
1822,3475,12,"[25, 12, 111]",training,medium
1823,3476,12,"[25, 12, 111]",training,medium
1824,3477,12,"[25, 12, 111]",training,medium
1825,3478,12,"[25, 12, 111]",training,medium
1826,3479,12,"[25, 12, 111]",training,medium
1835,3489,12,[12],training,medium
1836,3490,12,[12],training,medium
1837,3491,12,[12],training,medium
1838,3492,12,[12],training,small
1839,3493,12,[12],training,medium
1841,3495,12,[12],training,medium
1843,3497,12,[12],training,medium
1845,3499,12,[12],training,medium
1846,3501,12,"[25, 12]",training,medium
1847,3502,12,"[25, 12]",training,medium
1848,3503,12,"[25, 12]",training,medium
1849,3504,12,"[25, 12]",training,medium
1850,3505,12,"[25, 12]",training,medium
1851,3514,12,[12],training,medium
1852,3515,12,[12],training,medium
1853,3516,12,[12],training,medium
1854,3517,12,[12],training,medium
1855,3518,12,[12],training,medium
1856,3519,12,[12],training,medium
1857,3520,12,[12],training,medium
1858,3521,12,[12],training,medium
1859,3522,12,[12],training,medium
1860,3532,10,"[10, 76]",training,small
1861,3533,10,"[10, 76]",training,small
1862,3534,10,"[10, 76]",training,small
1863,3535,10,"[10, 76]",training,small
1864,3536,10,"[10, 76]",training,medium
1865,3537,10,"[10, 76]",training,small
1866,3538,10,"[10, 76]",training,small
1877,3551,12,[12],training,medium
1878,3552,12,[12],training,medium
1882,3557,15,[15],training,medium
1883,3558,15,[15],training,medium
1884,3559,15,[15],training,medium
1885,3560,15,[15],training,medium
1886,3561,15,[15],training,medium
1888,3563,15,[15],training,medium
1889,3564,15,[15],training,medium
1891,3566,15,[15],training,medium
1892,3567,15,[15],training,medium
1893,3568,15,[15],training,medium
1894,3569,15,[15],training,medium
1895,3570,15,[15],training,medium
1896,3571,15,[15],training,medium
1897,3572,15,[15],training,medium
1898,3573,15,[15],training,small
1899,3574,15,[15],training,medium
1901,3579,12,"[12, 85]",validation,medium
1902,3580,12,"[12, 85]",validation,medium
1903,3581,12,"[12, 85]",validation,medium
1904,3582,12,"[12, 85]",validation,medium
1905,3583,12,"[12, 85]",validation,medium
1906,3584,12,"[12, 85]",validation,medium
1907,3585,12,"[12, 85]",validation,medium
1920,3598,17,[17],training,small
1924,3603,12,"[66, 12]",training,medium
1925,3604,12,"[66, 12]",training,medium
1927,3606,12,"[66, 12]",training,medium
1930,3609,12,"[66, 12]",training,medium
1932,3612,12,"[89, 12, 25]",test,medium
1933,3613,12,"[89, 12, 25]",test,medium
1934,3614,12,"[89, 12, 25]",test,medium
1935,3616,12,"[89, 12, 25]",test,medium
1937,3618,12,"[89, 12, 25]",test,medium
1939,3620,12,"[89, 12, 25]",test,medium
1942,3624,12,"[89, 12, 25]",test,small
1944,3626,12,"[25, 12]",validation,medium
1955,3638,12,[12],training,medium
1987,3681,12,[12],training,medium
2002,3696,12,[12],training,medium
2004,3698,12,[12],training,medium
2012,3707,17,[17],training,small
2013,3708,17,[17],training,small
2025,3720,12,"[58, 45, 12, 53]",training,small
2026,3721,12,"[58, 45, 12, 53]",training,small
2027,3722,12,"[58, 45, 12, 53]",training,small
2028,3723,12,"[58, 45, 12, 53]",training,medium
2029,3724,12,"[58, 45, 12, 53]",training,small
2030,3725,12,"[58, 45, 12, 53]",training,small
2032,3727,12,"[12, 31]",training,medium
2062,3761,12,"[26, 12]",training,small
2063,3762,12,"[26, 12]",training,small
2064,3763,12,"[26, 12]",training,small
2066,3765,12,"[26, 12]",training,small
2067,3766,12,"[26, 12]",training,small
2076,3775,2,"[2, 117, 46]",training,small
2077,3776,2,"[2, 117, 46]",training,small
2078,3777,2,"[2, 117, 46]",training,small
2079,3778,2,"[2, 117, 46]",training,small
2080,3779,2,"[2, 117, 46]",training,small
2112,3812,12,[12],training,medium
2131,3832,17,[17],training,small
2132,3833,12,[12],training,small
2133,3834,12,[12],training,medium
2134,3835,12,[12],training,medium
2135,3836,12,[12],training,medium
2138,3839,12,[12],training,medium
2139,3840,12,[12],training,small
2141,3842,3,[3],test,medium
2153,3854,12,"[25, 58, 12]",training,medium
2154,3855,12,"[25, 58, 12]",training,medium
2155,3856,12,"[25, 58, 12]",training,medium
2156,3857,12,"[25, 58, 12]",training,medium
2157,3859,12,"[25, 58, 12]",training,medium
2159,3861,12,"[25, 58, 12]",training,medium
2160,3862,12,"[25, 58, 12]",training,medium
2161,3863,12,"[25, 58, 12]",training,medium
2175,3880,17,[17],training,small
2190,3895,2,"[2, 118]",training,small
2191,3896,2,"[2, 118]",training,small
2197,3904,17,[17],training,small
2198,3905,17,[17],training,small
2199,3906,17,[17],training,small
2200,3908,17,[17],training,small
2201,3909,17,[17],training,small
2202,3910,17,[17],training,small
2203,3911,17,[17],training,small
2204,3912,17,[17],training,small
2205,3913,17,[17],training,small
2207,3915,17,[17],training,medium
2211,3919,17,[17],training,medium
2212,3920,17,[17],training,small
2213,3921,17,[17],training,small
2215,3923,12,"[66, 12]",training,medium
2216,3924,12,"[66, 12]",training,medium
2221,3929,12,"[66, 12]",training,medium
2224,3932,12,"[66, 12]",training,medium
2225,3933,12,"[66, 12]",training,medium
2226,3934,12,"[66, 12]",training,medium
2228,3936,12,"[66, 12]",training,medium
2231,3939,12,"[66, 12]",training,medium
2233,3941,12,"[12, 85]",training,medium
2234,3942,12,"[12, 85]",training,medium
2235,3943,12,"[12, 85]",training,medium
2236,3944,12,"[12, 85]",training,medium
2237,3945,12,"[12, 85]",training,medium
2238,3946,12,"[12, 85]",training,medium
2239,3947,12,"[12, 85]",training,medium
2240,3948,12,"[12, 85]",training,medium
2241,3950,12,"[12, 85]",training,small
2242,3951,12,"[12, 85]",training,medium
2243,3952,12,"[12, 85]",training,medium
2244,3953,12,"[12, 85]",training,medium
2245,3954,12,"[12, 85]",training,medium
2246,3955,12,"[12, 85]",training,medium
2247,3956,12,"[12, 85]",training,medium
2248,3957,12,"[12, 85]",training,medium
2249,3958,12,"[12, 85]",training,medium
2250,3959,12,"[12, 85]",training,medium
2251,3960,12,"[12, 85]",training,medium
2264,3973,12,"[12, 85]",training,medium
2265,3974,12,"[12, 85]",training,medium
2266,3975,12,"[12, 85]",training,medium
2267,3976,12,"[12, 85]",training,medium
2272,3981,12,"[12, 85]",training,medium
2274,3983,12,"[12, 85]",training,medium
2276,3985,12,"[12, 85]",training,medium
2277,3986,12,"[12, 85]",training,medium
2280,3989,12,"[12, 85]",training,medium
2286,4004,12,[12],training,medium
2295,4013,17,[17],training,small
2296,4014,17,[17],training,medium
2299,4017,17,[17],training,small
2304,4022,12,"[25, 12, 109]",validation,small
2306,4024,12,"[25, 12, 109]",validation,medium
2307,4025,12,"[25, 12, 109]",validation,medium
2309,4027,12,"[25, 12, 109]",validation,medium
2310,4028,12,"[25, 12, 109]",validation,medium
2311,4029,12,"[25, 12, 109]",validation,medium
2314,4032,12,"[25, 12, 109]",validation,medium
2315,4033,12,"[25, 12, 109]",validation,medium
2316,4034,12,"[25, 12, 109]",validation,medium
2317,4035,12,"[25, 12, 109]",validation,medium
2319,4037,17,"[17, 103]",training,small
2320,4038,12,"[89, 12, 25]",training,medium
2324,4042,12,"[89, 12, 25]",training,medium
2325,4043,12,"[89, 12, 25]",training,medium
2326,4044,12,"[89, 12, 25]",training,medium
2327,4045,12,"[89, 12, 25]",training,medium
2332,4066,17,"[33, 17]",training,small
2333,4067,17,"[33, 17]",training,small
2334,4068,17,"[33, 17]",training,small
2335,4069,17,"[33, 17]",training,small
2336,4070,2,"[2, 46]",training,small
2337,4071,2,"[2, 46]",training,small
2338,4072,2,"[2, 46]",training,small
2339,4073,2,"[2, 46]",training,small
2340,4074,2,"[2, 46]",training,small
2341,4075,2,"[2, 46]",training,small
2342,4076,2,"[2, 46]",training,small
2343,4077,2,"[2, 46]",training,small
2344,4078,2,"[2, 46]",training,small
2345,4079,2,"[2, 46]",training,small
2346,4080,2,"[2, 46]",training,small
2350,4084,12,"[58, 12]",training,medium
2357,4091,2,"[2, 117, 118, 130]",training,small
2358,4092,2,"[2, 117, 118, 130]",training,small
2359,4093,2,"[2, 117, 118, 130]",training,small
2360,4094,2,"[2, 117, 118, 130]",training,small
2361,4095,2,"[2, 117, 118, 130]",training,small
2362,4096,2,"[2, 117, 118, 130]",training,small
2363,4097,2,"[2, 117, 118, 130]",training,small
2364,4098,2,"[2, 117, 118, 130]",training,small
2365,4099,2,"[2, 117, 118, 130]",training,small
2366,4100,2,"[2, 117, 118, 130]",training,small
2367,4101,2,"[2, 117, 118, 130]",training,small
2368,4102,2,"[2, 117, 118, 130]",training,small
2369,4103,2,"[2, 117, 118, 130]",training,small
2370,4104,12,[12],test,medium
2371,4105,12,[12],test,medium
2374,4108,12,[12],test,small
2375,4109,12,[12],test,medium
2376,4110,12,[12],test,medium
2377,4111,12,[12],test,medium
2378,4112,12,[12],test,medium
2384,4119,12,[12],training,medium
2390,4125,12,"[25, 12, 109]",training,medium
2391,4126,12,"[25, 12, 109]",training,medium
2398,4133,12,"[25, 12, 109]",training,medium
2406,4158,12,[12],training,medium
2407,4159,12,[12],training,medium
2408,4160,12,[12],training,medium
2409,4161,12,[12],training,medium
2414,4167,12,"[113, 26, 12]",training,medium
2417,4170,12,"[25, 27, 12]",training,medium
2419,4172,12,"[25, 27, 12]",training,medium
2423,4176,12,"[25, 27, 12]",training,medium
2428,4181,12,"[25, 27, 12]",training,medium
2433,4186,12,"[25, 27, 12]",training,medium
2440,4193,12,[12],training,medium
2441,4194,12,[12],training,medium
2442,4195,12,[12],training,medium
2444,4197,12,[12],training,medium
2445,4198,12,[12],training,medium
2448,4201,12,[12],training,medium
2449,4202,12,[12],training,medium
2461,4214,12,"[66, 12]",training,medium
2462,4215,12,"[66, 12]",training,medium
2463,4216,12,"[66, 12]",training,medium
2464,4217,12,"[66, 12]",training,medium
2465,4218,12,"[66, 12]",training,medium
2466,4219,12,"[66, 12]",training,medium
2479,4232,2,"[2, 92, 102]",training,small
2480,4233,2,"[2, 92, 102]",training,small
2481,4234,2,"[2, 92, 102]",training,small
2482,4235,2,"[2, 92, 102]",training,small
2483,4236,2,"[2, 92, 102]",training,small
2486,4239,2,"[2, 92, 102]",training,small
2509,4264,12,"[25, 12]",training,medium
2512,4267,12,"[25, 12]",training,medium
2520,4275,12,"[25, 12]",training,medium
2521,4276,12,"[25, 12]",training,medium
2527,4284,12,[12],training,medium
2528,4285,12,[12],training,medium
2530,4297,12,"[12, 85]",training,medium
2531,4298,12,"[12, 85]",training,medium
2532,4299,12,"[12, 85]",training,medium
2533,4300,12,"[12, 85]",training,medium
2535,4302,12,"[12, 85]",training,medium
2542,4309,12,"[12, 85]",training,medium
2543,4310,12,"[12, 85]",training,medium
2544,4311,12,"[12, 85]",training,medium
2545,4312,12,"[12, 85]",training,medium
2546,4313,12,"[12, 85]",training,medium
2548,4316,12,"[12, 85]",training,medium
2549,4330,12,[12],training,medium
2551,4332,12,[12],training,medium
2552,4333,12,[12],training,medium
2558,4346,12,[12],training,medium
2560,4348,12,[12],training,medium
2563,4363,12,[12],training,medium
2568,4368,12,[12],training,medium
2590,4391,12,"[25, 12, 85, 111]",training,medium
2593,4394,12,"[25, 12, 85, 111]",training,medium
2595,4396,12,"[25, 12, 85, 111]",training,medium
2599,4400,12,[12],training,medium
2600,4401,12,[12],training,medium
2602,4403,12,[12],training,medium
2606,4407,12,[12],training,medium
2607,4408,12,[12],training,medium
2608,4409,12,[12],training,medium
2609,4410,12,[12],training,medium
2631,4432,12,"[89, 12, 25]",training,medium
2642,4443,12,[12],training,medium
2643,4444,17,[17],training,medium
2644,4445,17,[17],training,medium
2645,4446,17,[17],training,medium
2648,4450,17,[17],training,small
2660,4463,12,"[25, 12]",training,medium
2663,4466,12,"[25, 12]",training,medium
2665,4468,12,"[25, 12]",training,medium
2666,4469,12,"[25, 12]",training,medium
2681,4484,12,"[25, 12, 109]",training,medium
2687,4490,12,"[25, 12, 109]",training,medium
2689,4492,12,"[25, 12, 109]",training,medium
2696,4499,12,[12],training,medium
2697,4500,12,"[58, 12]",test,medium
2698,4501,12,"[58, 12]",test,medium
2703,4507,2,"[2, 77]",training,small
2704,4508,2,"[2, 77]",training,small
2705,4509,2,"[2, 77]",training,small
2706,4510,2,"[2, 77]",training,small
2707,4511,2,"[2, 77]",training,small
2714,4519,15,[15],training,small
2715,4520,15,[15],training,small
2716,4521,15,[15],training,small
2717,4522,15,[15],training,small
2724,4536,3,[3],training,medium
2725,4537,3,[3],training,medium
2726,4538,3,[3],training,medium
2727,4539,3,[3],training,medium
