
-------
Evaluating test score...

-------
epoch 1 | test_loss: 3.04 | 108.31s | 00:14:58
-------


=======
Batch size: 6 | Epochs: 30 | Learning rate: 0.0009 | Started: 23:26:31

epoch 1 | batch 50/3318 | loss: 2.05 | lr: 8.9871E-04 | 0.72s | 00:00:59
epoch 1 | batch 1400/3318 | loss: 2.58 | lr: 8.6468E-04 | 0.70s | 00:17:18
epoch 1 | batch 1450/3318 | loss: 3.57 | lr: 8.6344E-04 | 0.71s | 00:17:55
epoch 1 | batch 1500/3318 | loss: 1.66 | lr: 8.6221E-04 | 0.72s | 00:18:32
epoch 1 | batch 1550/3318 | loss: 1.77 | lr: 8.6097E-04 | 0.68s | 00:19:08
epoch 1 | batch 1600/3318 | loss: 2.14 | lr: 8.5974E-04 | 0.74s | 00:19:44
epoch 1 | batch 1650/3318 | loss: 2.23 | lr: 8.5851E-04 | 0.71s | 00:20:21
epoch 1 | batch 1700/3318 | loss: 1.79 | lr: 8.5729E-04 | 0.71s | 00:20:57
epoch 1 | batch 1750/3318 | loss: 1.73 | lr: 8.5606E-04 | 0.76s | 00:21:33
epoch 1 | batch 1800/3318 | loss: 2.22 | lr: 8.5484E-04 | 0.73s | 00:22:09
epoch 1 | batch 1850/3318 | loss: 1.97 | lr: 8.5362E-04 | 0.70s | 00:22:45
epoch 1 | batch 1900/3318 | loss: 1.25 | lr: 8.5240E-04 | 0.69s | 00:23:22
epoch 1 | batch 1950/3318 | loss: 1.78 | lr: 8.5118E-04 | 0.73s | 00:23:58
epoch 1 | batch 2000/3318 | loss: 2.17 | lr: 8.4996E-04 | 0.70s | 00:24:34
epoch 1 | batch 2050/3318 | loss: 2.32 | lr: 8.4875E-04 | 0.74s | 00:25:10
epoch 1 | batch 2100/3318 | loss: 1.91 | lr: 8.4754E-04 | 0.69s | 00:25:46
epoch 1 | batch 2150/3318 | loss: 1.45 | lr: 8.4633E-04 | 0.71s | 00:26:22
epoch 1 | batch 2200/3318 | loss: 2.41 | lr: 8.4512E-04 | 0.72s | 00:26:58
epoch 1 | batch 2250/3318 | loss: 1.88 | lr: 8.4391E-04 | 0.71s | 00:27:34
epoch 1 | batch 2300/3318 | loss: 1.40 | lr: 8.4270E-04 | 0.71s | 00:28:10
epoch 1 | batch 2350/3318 | loss: 1.94 | lr: 8.4150E-04 | 0.72s | 00:28:46
epoch 1 | batch 2400/3318 | loss: 2.14 | lr: 8.4030E-04 | 0.72s | 00:29:23
epoch 1 | batch 2450/3318 | loss: 1.78 | lr: 8.3909E-04 | 0.70s | 00:29:59
epoch 1 | batch 2500/3318 | loss: 2.27 | lr: 8.3790E-04 | 0.75s | 00:30:35
epoch 1 | batch 2550/3318 | loss: 1.96 | lr: 8.3670E-04 | 0.71s | 00:31:11
epoch 1 | batch 2600/3318 | loss: 1.94 | lr: 8.3550E-04 | 0.70s | 00:31:47
epoch 1 | batch 2650/3318 | loss: 2.41 | lr: 8.3431E-04 | 0.72s | 00:32:24
epoch 1 | batch 2700/3318 | loss: 2.00 | lr: 8.3312E-04 | 0.70s | 00:33:00
epoch 1 | batch 2750/3318 | loss: 2.07 | lr: 8.3193E-04 | 0.74s | 00:33:36
epoch 1 | batch 2800/3318 | loss: 1.44 | lr: 8.3074E-04 | 0.71s | 00:34:12
epoch 1 | batch 2850/3318 | loss: 1.88 | lr: 8.2955E-04 | 0.76s | 00:34:54
epoch 1 | batch 2900/3318 | loss: 1.45 | lr: 8.2836E-04 | 0.78s | 00:35:35
epoch 1 | batch 2950/3318 | loss: 3.30 | lr: 8.2718E-04 | 0.84s | 00:36:18
epoch 1 | batch 3000/3318 | loss: 2.52 | lr: 8.2600E-04 | 0.72s | 00:36:59
epoch 1 | batch 3050/3318 | loss: 1.96 | lr: 8.2482E-04 | 0.73s | 00:37:35
epoch 1 | batch 3100/3318 | loss: 2.07 | lr: 8.2364E-04 | 0.71s | 00:38:12
epoch 1 | batch 3150/3318 | loss: 1.74 | lr: 8.2246E-04 | 0.70s | 00:38:48
epoch 1 | batch 3200/3318 | loss: 2.81 | lr: 8.2129E-04 | 0.72s | 00:39:25
epoch 1 | batch 3250/3318 | loss: 2.78 | lr: 8.2011E-04 | 0.71s | 00:40:01
epoch 1 | batch 3300/3318 | loss: 1.71 | lr: 8.1894E-04 | 0.71s | 00:40:37

-------
Evaluating train score (829 samples)...

-------
epoch 1 | train_loss: 2.10 | 212.78s | 00:44:23
-------


-------
Evaluating valid score (429 samples)...

-------
epoch 1 | valid_loss: 2.15 | 132.35s | 00:46:35
-------

epoch 2 | batch 50/3318 | loss: 1.98 | lr: 8.9743E-04 | 0.64s | 00:47:07
epoch 2 | batch 100/3318 | loss: 2.32 | lr: 8.9487E-04 | 0.64s | 00:47:39
epoch 2 | batch 150/3318 | loss: 2.31 | lr: 8.9231E-04 | 0.64s | 00:48:12
epoch 2 | batch 200/3318 | loss: 1.91 | lr: 8.8976E-04 | 0.64s | 00:48:44
epoch 2 | batch 250/3318 | loss: 1.97 | lr: 8.8722E-04 | 0.64s | 00:49:16
epoch 2 | batch 300/3318 | loss: 1.66 | lr: 8.8469E-04 | 0.64s | 00:49:48
epoch 2 | batch 350/3318 | loss: 1.53 | lr: 8.8216E-04 | 0.64s | 00:50:20
epoch 2 | batch 400/3318 | loss: 1.94 | lr: 8.7964E-04 | 0.64s | 00:50:53
epoch 2 | batch 450/3318 | loss: 2.25 | lr: 8.7713E-04 | 0.64s | 00:51:25
epoch 2 | batch 500/3318 | loss: 1.81 | lr: 8.7462E-04 | 0.64s | 00:51:57
epoch 2 | batch 550/3318 | loss: 2.59 | lr: 8.7213E-04 | 0.64s | 00:52:29
epoch 2 | batch 600/3318 | loss: 2.16 | lr: 8.6964E-04 | 0.64s | 00:53:01
epoch 2 | batch 650/3318 | loss: 2.08 | lr: 8.6715E-04 | 0.64s | 00:53:33
epoch 2 | batch 700/3318 | loss: 2.62 | lr: 8.6468E-04 | 0.64s | 00:54:06
epoch 2 | batch 750/3318 | loss: 1.65 | lr: 8.6221E-04 | 0.64s | 00:54:38
epoch 2 | batch 800/3318 | loss: 2.03 | lr: 8.5974E-04 | 0.64s | 00:55:10
epoch 2 | batch 850/3318 | loss: 2.71 | lr: 8.5729E-04 | 0.64s | 00:55:42
epoch 2 | batch 900/3318 | loss: 1.90 | lr: 8.5484E-04 | 0.64s | 00:56:14
epoch 2 | batch 950/3318 | loss: 2.43 | lr: 8.5240E-04 | 0.64s | 00:56:47
epoch 2 | batch 1000/3318 | loss: 2.03 | lr: 8.4996E-04 | 0.64s | 00:57:19
epoch 2 | batch 1050/3318 | loss: 1.92 | lr: 8.4754E-04 | 0.64s | 00:57:51
epoch 2 | batch 1100/3318 | loss: 1.94 | lr: 8.4512E-04 | 0.64s | 00:58:23
epoch 2 | batch 1150/3318 | loss: 2.55 | lr: 8.4270E-04 | 0.64s | 00:58:55
epoch 2 | batch 1200/3318 | loss: 1.85 | lr: 8.4030E-04 | 0.64s | 00:59:27
epoch 2 | batch 1250/3318 | loss: 2.82 | lr: 8.3790E-04 | 0.64s | 01:00:00
epoch 2 | batch 1300/3318 | loss: 1.75 | lr: 8.3550E-04 | 0.64s | 01:00:32
epoch 2 | batch 1350/3318 | loss: 2.71 | lr: 8.3312E-04 | 0.64s | 01:01:04
epoch 2 | batch 1400/3318 | loss: 1.81 | lr: 8.3074E-04 | 0.64s | 01:01:36
epoch 2 | batch 1450/3318 | loss: 1.84 | lr: 8.2836E-04 | 0.64s | 01:02:08
epoch 2 | batch 1500/3318 | loss: 2.50 | lr: 8.2600E-04 | 0.64s | 01:02:41
epoch 2 | batch 1550/3318 | loss: 2.56 | lr: 8.2364E-04 | 0.64s | 01:03:13
epoch 2 | batch 1600/3318 | loss: 2.29 | lr: 8.2129E-04 | 0.64s | 01:03:45
epoch 2 | batch 1650/3318 | loss: 1.59 | lr: 8.1894E-04 | 0.64s | 01:04:17
epoch 2 | batch 1700/3318 | loss: 1.99 | lr: 8.1660E-04 | 0.64s | 01:04:49
epoch 2 | batch 1750/3318 | loss: 1.70 | lr: 8.1427E-04 | 0.64s | 01:05:22
epoch 2 | batch 1800/3318 | loss: 2.30 | lr: 8.1195E-04 | 0.64s | 01:05:54
epoch 2 | batch 1850/3318 | loss: 2.16 | lr: 8.0963E-04 | 0.64s | 01:06:26
epoch 2 | batch 1900/3318 | loss: 1.61 | lr: 8.0731E-04 | 0.64s | 01:06:58
epoch 2 | batch 1950/3318 | loss: 1.95 | lr: 8.0501E-04 | 0.64s | 01:07:30
epoch 2 | batch 2000/3318 | loss: 2.28 | lr: 8.0271E-04 | 0.64s | 01:08:03
epoch 2 | batch 2050/3318 | loss: 1.52 | lr: 8.0042E-04 | 0.64s | 01:08:35
epoch 2 | batch 2100/3318 | loss: 1.97 | lr: 7.9813E-04 | 0.64s | 01:09:07
epoch 2 | batch 2150/3318 | loss: 2.15 | lr: 7.9585E-04 | 0.64s | 01:09:39
epoch 2 | batch 2200/3318 | loss: 2.72 | lr: 7.9358E-04 | 0.64s | 01:10:11
epoch 2 | batch 2250/3318 | loss: 2.06 | lr: 7.9131E-04 | 0.64s | 01:10:43
epoch 2 | batch 2300/3318 | loss: 2.76 | lr: 7.8905E-04 | 0.64s | 01:11:16
epoch 2 | batch 2350/3318 | loss: 1.95 | lr: 7.8680E-04 | 0.64s | 01:11:48
epoch 2 | batch 2400/3318 | loss: 2.21 | lr: 7.8455E-04 | 0.64s | 01:12:20
epoch 2 | batch 2450/3318 | loss: 2.18 | lr: 7.8231E-04 | 0.64s | 01:12:52
epoch 2 | batch 2500/3318 | loss: 2.16 | lr: 7.8008E-04 | 0.64s | 01:13:24
epoch 2 | batch 2550/3318 | loss: 1.93 | lr: 7.7785E-04 | 0.64s | 01:13:57
epoch 2 | batch 2600/3318 | loss: 2.30 | lr: 7.7563E-04 | 0.64s | 01:14:29
epoch 2 | batch 2650/3318 | loss: 1.80 | lr: 7.7341E-04 | 0.64s | 01:15:01
epoch 2 | batch 2700/3318 | loss: 1.68 | lr: 7.7120E-04 | 0.64s | 01:15:33
epoch 2 | batch 2750/3318 | loss: 2.88 | lr: 7.6900E-04 | 0.64s | 01:16:05
epoch 2 | batch 2800/3318 | loss: 3.08 | lr: 7.6680E-04 | 0.64s | 01:16:38
epoch 2 | batch 2850/3318 | loss: 1.87 | lr: 7.6461E-04 | 0.64s | 01:17:10
epoch 2 | batch 2900/3318 | loss: 1.56 | lr: 7.6243E-04 | 0.64s | 01:17:42
epoch 2 | batch 2950/3318 | loss: 1.60 | lr: 7.6025E-04 | 0.64s | 01:18:14
epoch 2 | batch 3000/3318 | loss: 2.17 | lr: 7.5808E-04 | 0.64s | 01:18:46
epoch 2 | batch 3050/3318 | loss: 2.28 | lr: 7.5592E-04 | 0.64s | 01:19:18
epoch 2 | batch 3100/3318 | loss: 1.73 | lr: 7.5376E-04 | 0.64s | 01:19:51
epoch 2 | batch 3150/3318 | loss: 2.51 | lr: 7.5161E-04 | 0.64s | 01:20:23
epoch 2 | batch 3200/3318 | loss: 1.95 | lr: 7.4946E-04 | 0.64s | 01:20:55
epoch 2 | batch 3250/3318 | loss: 1.92 | lr: 7.4732E-04 | 0.64s | 01:21:27
epoch 2 | batch 3300/3318 | loss: 2.09 | lr: 7.4518E-04 | 0.64s | 01:21:59

-------
Evaluating train score (829 samples)...

-------
epoch 2 | train_loss: 2.10 | 212.80s | 01:25:44
-------


-------
Evaluating valid score (429 samples)...

-------
epoch 2 | valid_loss: 2.15 | 110.08s | 01:27:34
-------

epoch 3 | batch 50/3318 | loss: 2.73 | lr: 8.9615E-04 | 0.64s | 01:28:06
epoch 3 | batch 100/3318 | loss: 1.79 | lr: 8.9231E-04 | 0.64s | 01:28:39
epoch 3 | batch 150/3318 | loss: 1.57 | lr: 8.8849E-04 | 0.64s | 01:29:11
epoch 3 | batch 200/3318 | loss: 2.21 | lr: 8.8469E-04 | 0.64s | 01:29:43
epoch 3 | batch 250/3318 | loss: 2.23 | lr: 8.8090E-04 | 0.64s | 01:30:15
epoch 3 | batch 300/3318 | loss: 2.08 | lr: 8.7713E-04 | 0.64s | 01:30:47
epoch 3 | batch 350/3318 | loss: 1.42 | lr: 8.7337E-04 | 0.64s | 01:31:20
epoch 3 | batch 400/3318 | loss: 2.82 | lr: 8.6964E-04 | 0.64s | 01:31:52
epoch 3 | batch 450/3318 | loss: 2.48 | lr: 8.6591E-04 | 0.64s | 01:32:24
epoch 3 | batch 500/3318 | loss: 2.92 | lr: 8.6221E-04 | 0.64s | 01:32:56
epoch 3 | batch 550/3318 | loss: 1.52 | lr: 8.5851E-04 | 0.64s | 01:33:28
epoch 3 | batch 600/3318 | loss: 1.54 | lr: 8.5484E-04 | 0.64s | 01:34:01
epoch 3 | batch 650/3318 | loss: 1.78 | lr: 8.5118E-04 | 0.64s | 01:34:33
epoch 3 | batch 700/3318 | loss: 2.31 | lr: 8.4754E-04 | 0.64s | 01:35:05
epoch 3 | batch 750/3318 | loss: 2.72 | lr: 8.4391E-04 | 0.64s | 01:35:37
epoch 3 | batch 800/3318 | loss: 1.51 | lr: 8.4030E-04 | 0.64s | 01:36:09
epoch 3 | batch 850/3318 | loss: 2.63 | lr: 8.3670E-04 | 0.64s | 01:36:42
epoch 3 | batch 900/3318 | loss: 2.20 | lr: 8.3312E-04 | 0.64s | 01:37:14
epoch 3 | batch 950/3318 | loss: 2.35 | lr: 8.2955E-04 | 0.64s | 01:37:46
epoch 3 | batch 1000/3318 | loss: 1.72 | lr: 8.2600E-04 | 0.64s | 01:38:18
epoch 3 | batch 1050/3318 | loss: 1.80 | lr: 8.2246E-04 | 0.64s | 01:38:50
epoch 3 | batch 1100/3318 | loss: 2.43 | lr: 8.1894E-04 | 0.64s | 01:39:22
epoch 3 | batch 1150/3318 | loss: 3.39 | lr: 8.1544E-04 | 0.64s | 01:39:55
epoch 3 | batch 1200/3318 | loss: 2.39 | lr: 8.1195E-04 | 0.64s | 01:40:27
epoch 3 | batch 1250/3318 | loss: 2.10 | lr: 8.0847E-04 | 0.64s | 01:40:59
epoch 3 | batch 1300/3318 | loss: 2.27 | lr: 8.0501E-04 | 0.64s | 01:41:31
epoch 3 | batch 1350/3318 | loss: 1.95 | lr: 8.0156E-04 | 0.64s | 01:42:03
epoch 3 | batch 1400/3318 | loss: 2.61 | lr: 7.9813E-04 | 0.64s | 01:42:36
epoch 3 | batch 1450/3318 | loss: 1.72 | lr: 7.9471E-04 | 0.64s | 01:43:08
epoch 3 | batch 1500/3318 | loss: 1.64 | lr: 7.9131E-04 | 0.64s | 01:43:40
epoch 3 | batch 1550/3318 | loss: 1.40 | lr: 7.8792E-04 | 0.64s | 01:44:12
epoch 3 | batch 1600/3318 | loss: 2.62 | lr: 7.8455E-04 | 0.64s | 01:44:44
epoch 3 | batch 1650/3318 | loss: 2.79 | lr: 7.8119E-04 | 0.64s | 01:45:17
epoch 3 | batch 1700/3318 | loss: 2.16 | lr: 7.7785E-04 | 0.64s | 01:45:49
epoch 3 | batch 1750/3318 | loss: 2.37 | lr: 7.7452E-04 | 0.64s | 01:46:21
epoch 3 | batch 1800/3318 | loss: 1.97 | lr: 7.7120E-04 | 0.64s | 01:46:53
epoch 3 | batch 1850/3318 | loss: 2.52 | lr: 7.6790E-04 | 0.64s | 01:47:25
epoch 3 | batch 1900/3318 | loss: 2.31 | lr: 7.6461E-04 | 0.64s | 01:47:58
epoch 3 | batch 1950/3318 | loss: 2.19 | lr: 7.6134E-04 | 0.64s | 01:48:30
epoch 3 | batch 2000/3318 | loss: 2.04 | lr: 7.5808E-04 | 0.64s | 01:49:02
epoch 3 | batch 2050/3318 | loss: 1.63 | lr: 7.5484E-04 | 0.64s | 01:49:34
epoch 3 | batch 2100/3318 | loss: 2.05 | lr: 7.5161E-04 | 0.64s | 01:50:06
epoch 3 | batch 2150/3318 | loss: 2.36 | lr: 7.4839E-04 | 0.64s | 01:50:39
epoch 3 | batch 2200/3318 | loss: 2.05 | lr: 7.4518E-04 | 0.64s | 01:51:11
epoch 3 | batch 2250/3318 | loss: 2.39 | lr: 7.4199E-04 | 0.64s | 01:51:43
epoch 3 | batch 2300/3318 | loss: 2.40 | lr: 7.3882E-04 | 0.64s | 01:52:15
epoch 3 | batch 2350/3318 | loss: 1.75 | lr: 7.3566E-04 | 0.64s | 01:52:47
epoch 3 | batch 2400/3318 | loss: 1.68 | lr: 7.3251E-04 | 0.64s | 01:53:20
epoch 3 | batch 2450/3318 | loss: 2.26 | lr: 7.2937E-04 | 0.64s | 01:53:52
epoch 3 | batch 2500/3318 | loss: 2.08 | lr: 7.2625E-04 | 0.64s | 01:54:24
epoch 3 | batch 2550/3318 | loss: 1.76 | lr: 7.2314E-04 | 0.64s | 01:54:56
epoch 3 | batch 2600/3318 | loss: 2.23 | lr: 7.2004E-04 | 0.64s | 01:55:28
epoch 3 | batch 2650/3318 | loss: 2.26 | lr: 7.1696E-04 | 0.64s | 01:56:00
epoch 3 | batch 2700/3318 | loss: 2.84 | lr: 7.1389E-04 | 0.64s | 01:56:33
epoch 3 | batch 2750/3318 | loss: 1.66 | lr: 7.1084E-04 | 0.64s | 01:57:05
epoch 3 | batch 2800/3318 | loss: 2.50 | lr: 7.0779E-04 | 0.64s | 01:57:37
epoch 3 | batch 2850/3318 | loss: 1.86 | lr: 7.0476E-04 | 0.64s | 01:58:09
epoch 3 | batch 2900/3318 | loss: 1.99 | lr: 7.0175E-04 | 0.64s | 01:58:41
epoch 3 | batch 2950/3318 | loss: 2.46 | lr: 6.9874E-04 | 0.64s | 01:59:14
epoch 3 | batch 3000/3318 | loss: 1.27 | lr: 6.9575E-04 | 0.64s | 01:59:46
epoch 3 | batch 3050/3318 | loss: 1.47 | lr: 6.9277E-04 | 0.64s | 02:00:18
epoch 3 | batch 3100/3318 | loss: 2.45 | lr: 6.8981E-04 | 0.64s | 02:00:50
epoch 3 | batch 3150/3318 | loss: 1.67 | lr: 6.8685E-04 | 0.64s | 02:01:22
epoch 3 | batch 3200/3318 | loss: 1.75 | lr: 6.8391E-04 | 0.64s | 02:01:55
epoch 3 | batch 3250/3318 | loss: 2.83 | lr: 6.8099E-04 | 0.64s | 02:02:27
epoch 3 | batch 3300/3318 | loss: 1.58 | lr: 6.7807E-04 | 0.64s | 02:02:59

-------
Evaluating train score (829 samples)...

-------
epoch 3 | train_loss: 2.08 | 212.78s | 02:06:44
-------


-------
Evaluating valid score (429 samples)...

-------
epoch 3 | valid_loss: 2.15 | 110.04s | 02:08:34
-------

epoch 4 | batch 50/3318 | loss: 1.77 | lr: 8.9487E-04 | 0.64s | 02:09:06
epoch 4 | batch 100/3318 | loss: 1.80 | lr: 8.8976E-04 | 0.64s | 02:09:38
epoch 4 | batch 150/3318 | loss: 2.52 | lr: 8.8469E-04 | 0.64s | 02:10:10
epoch 4 | batch 200/3318 | loss: 2.02 | lr: 8.7964E-04 | 0.64s | 02:10:42
epoch 4 | batch 250/3318 | loss: 1.73 | lr: 8.7462E-04 | 0.64s | 02:11:14
epoch 4 | batch 300/3318 | loss: 2.07 | lr: 8.6964E-04 | 0.64s | 02:11:47
epoch 4 | batch 350/3318 | loss: 2.27 | lr: 8.6468E-04 | 0.64s | 02:12:19
epoch 4 | batch 400/3318 | loss: 1.69 | lr: 8.5974E-04 | 0.64s | 02:12:51
epoch 4 | batch 450/3318 | loss: 1.82 | lr: 8.5484E-04 | 0.64s | 02:13:23
epoch 4 | batch 500/3318 | loss: 2.73 | lr: 8.4996E-04 | 0.64s | 02:13:55
epoch 4 | batch 550/3318 | loss: 1.95 | lr: 8.4512E-04 | 0.64s | 02:14:27
epoch 4 | batch 600/3318 | loss: 2.07 | lr: 8.4030E-04 | 0.64s | 02:15:00
epoch 4 | batch 650/3318 | loss: 2.50 | lr: 8.3550E-04 | 0.64s | 02:15:32
epoch 4 | batch 700/3318 | loss: 1.92 | lr: 8.3074E-04 | 0.64s | 02:16:04
epoch 4 | batch 750/3318 | loss: 1.49 | lr: 8.2600E-04 | 0.64s | 02:16:36
epoch 4 | batch 800/3318 | loss: 1.82 | lr: 8.2129E-04 | 0.64s | 02:17:08
epoch 4 | batch 850/3318 | loss: 2.65 | lr: 8.1660E-04 | 0.64s | 02:17:41
epoch 4 | batch 900/3318 | loss: 1.97 | lr: 8.1195E-04 | 0.64s | 02:18:13
epoch 4 | batch 950/3318 | loss: 2.68 | lr: 8.0731E-04 | 0.64s | 02:18:45
epoch 4 | batch 1000/3318 | loss: 1.40 | lr: 8.0271E-04 | 0.64s | 02:19:17
epoch 4 | batch 1050/3318 | loss: 2.99 | lr: 7.9813E-04 | 0.64s | 02:19:49
epoch 4 | batch 1100/3318 | loss: 1.63 | lr: 7.9358E-04 | 0.64s | 02:20:22
epoch 4 | batch 1150/3318 | loss: 2.32 | lr: 7.8905E-04 | 0.64s | 02:20:54
epoch 4 | batch 1200/3318 | loss: 2.81 | lr: 7.8455E-04 | 0.64s | 02:21:26
epoch 4 | batch 1250/3318 | loss: 2.55 | lr: 7.8008E-04 | 0.64s | 02:21:58
epoch 4 | batch 1300/3318 | loss: 1.82 | lr: 7.7563E-04 | 0.64s | 02:22:30
epoch 4 | batch 1350/3318 | loss: 1.53 | lr: 7.7120E-04 | 0.64s | 02:23:02
epoch 4 | batch 1400/3318 | loss: 1.75 | lr: 7.6680E-04 | 0.64s | 02:23:35
epoch 4 | batch 1450/3318 | loss: 1.77 | lr: 7.6243E-04 | 0.64s | 02:24:07
epoch 4 | batch 1500/3318 | loss: 1.96 | lr: 7.5808E-04 | 0.64s | 02:24:39
epoch 4 | batch 1550/3318 | loss: 2.97 | lr: 7.5376E-04 | 0.64s | 02:25:11
epoch 4 | batch 1600/3318 | loss: 1.95 | lr: 7.4946E-04 | 0.64s | 02:25:43
epoch 4 | batch 1650/3318 | loss: 1.93 | lr: 7.4518E-04 | 0.64s | 02:26:16
epoch 4 | batch 1700/3318 | loss: 1.75 | lr: 7.4093E-04 | 0.64s | 02:26:48
epoch 4 | batch 1750/3318 | loss: 2.12 | lr: 7.3671E-04 | 0.64s | 02:27:20
epoch 4 | batch 1800/3318 | loss: 1.66 | lr: 7.3251E-04 | 0.64s | 02:27:52
epoch 4 | batch 1850/3318 | loss: 2.24 | lr: 7.2833E-04 | 0.64s | 02:28:24
epoch 4 | batch 1900/3318 | loss: 1.80 | lr: 7.2417E-04 | 0.64s | 02:28:57
epoch 4 | batch 1950/3318 | loss: 2.29 | lr: 7.2004E-04 | 0.64s | 02:29:29
epoch 4 | batch 2000/3318 | loss: 2.09 | lr: 7.1594E-04 | 0.64s | 02:30:01
epoch 4 | batch 2050/3318 | loss: 2.07 | lr: 7.1185E-04 | 0.64s | 02:30:33
epoch 4 | batch 2100/3318 | loss: 2.87 | lr: 7.0779E-04 | 0.64s | 02:31:05
epoch 4 | batch 2150/3318 | loss: 1.78 | lr: 7.0376E-04 | 0.64s | 02:31:37
epoch 4 | batch 2200/3318 | loss: 2.34 | lr: 6.9974E-04 | 0.64s | 02:32:10
epoch 4 | batch 2250/3318 | loss: 2.26 | lr: 6.9575E-04 | 0.64s | 02:32:42
epoch 4 | batch 2300/3318 | loss: 1.73 | lr: 6.9178E-04 | 0.64s | 02:33:14
epoch 4 | batch 2350/3318 | loss: 2.17 | lr: 6.8784E-04 | 0.64s | 02:33:46
epoch 4 | batch 2400/3318 | loss: 1.93 | lr: 6.8391E-04 | 0.64s | 02:34:18
epoch 4 | batch 2450/3318 | loss: 1.76 | lr: 6.8001E-04 | 0.64s | 02:34:51
epoch 4 | batch 2500/3318 | loss: 2.55 | lr: 6.7613E-04 | 0.64s | 02:35:23
epoch 4 | batch 2550/3318 | loss: 2.90 | lr: 6.7228E-04 | 0.64s | 02:35:55
epoch 4 | batch 2600/3318 | loss: 2.23 | lr: 6.6844E-04 | 0.64s | 02:36:27
epoch 4 | batch 2650/3318 | loss: 1.75 | lr: 6.6463E-04 | 0.64s | 02:36:59
epoch 4 | batch 2700/3318 | loss: 2.42 | lr: 6.6084E-04 | 0.64s | 02:37:32
epoch 4 | batch 2750/3318 | loss: 2.08 | lr: 6.5707E-04 | 0.64s | 02:38:04
epoch 4 | batch 2800/3318 | loss: 2.29 | lr: 6.5332E-04 | 0.64s | 02:38:36
epoch 4 | batch 2850/3318 | loss: 1.99 | lr: 6.4960E-04 | 0.64s | 02:39:08
epoch 4 | batch 2900/3318 | loss: 3.03 | lr: 6.4589E-04 | 0.64s | 02:39:40
epoch 4 | batch 2950/3318 | loss: 1.97 | lr: 6.4221E-04 | 0.64s | 02:40:13
epoch 4 | batch 3000/3318 | loss: 1.58 | lr: 6.3854E-04 | 0.64s | 02:40:45
epoch 4 | batch 3050/3318 | loss: 2.25 | lr: 6.3490E-04 | 0.64s | 02:41:17
