,track_id,genre_top,genres_all
619,000868,38,"[38, 47]"
629,000878,15,[15]
632,000881,15,[15]
639,000889,15,[15]
646,000896,12,"[25, 12, 111]"
647,000897,38,"[32, 38]"
648,000898,38,"[32, 38]"
742,000992,12,[12]
744,000995,38,"[32, 38]"
746,000997,38,"[32, 38]"
747,000998,38,"[32, 38]"
766,001022,4,[4]
767,001023,4,[4]
772,001028,12,[12]
773,001029,12,[12]
783,001039,12,"[45, 12, 53]"
784,001040,12,"[45, 12, 53]"
785,001041,12,"[58, 12]"
796,001052,12,[12]
797,001058,4,[4]
798,001059,4,[4]
799,001060,4,[4]
800,001061,4,[4]
802,001063,4,[4]
803,001064,4,[4]
820,001082,2,[2]
821,001083,38,"[1, 38]"
831,001093,38,"[38, 30]"
833,001095,38,"[38, 30]"
840,001102,12,[12]
841,001105,12,[12]
842,001106,12,[12]
843,001107,12,[12]
844,001108,12,[12]
853,001121,15,[15]
855,001123,12,[12]
857,001125,12,[12]
858,001126,12,[12]
862,001130,12,[12]
863,001131,12,[12]
875,001147,12,[12]
876,001148,12,[12]
877,001149,12,[12]
878,001150,12,[12]
879,001151,4,"[4, 37]"
880,001152,4,"[4, 37]"
881,001153,4,"[4, 37]"
882,001154,4,"[4, 37]"
883,001155,4,"[4, 37]"
884,001156,12,[12]
885,001157,12,[12]
889,001161,12,[12]
890,001162,12,[12]
893,001165,12,[12]
907,001179,12,[12]
911,001183,12,[12]
921,001193,17,[17]
923,001195,17,[17]
924,001196,17,[17]
925,001197,17,[17]
927,001199,17,[17]
928,001201,12,[12]
929,001202,12,[12]
930,001203,12,[12]
931,001204,12,[12]
996,001270,12,"[25, 12]"
1002,001276,38,"[38, 22]"
1003,001277,38,"[38, 22]"
1004,001278,38,"[38, 22]"
1037,001311,17,"[17, 103]"
1065,001339,15,[15]
1078,001354,12,[12]
1080,001356,12,[12]
1082,001358,12,[12]
1084,001360,12,[12]
1085,001361,12,[12]
1087,001363,12,[12]
1090,001366,12,[12]
1109,001413,12,[12]
1112,001416,12,[12]
1113,001417,12,[12]
1114,001418,12,[12]
1115,001419,12,[12]
1123,001427,12,[12]
1138,001443,38,"[38, 47]"
1140,001450,12,[12]
1141,001451,12,[12]
1149,001481,15,[15]
1150,001482,15,[15]
1151,001483,15,[15]
1153,001485,15,[15]
1154,001486,15,[15]
1165,001498,38,"[1, 38]"
1177,001510,38,"[32, 38]"
1193,001526,12,[12]
1195,001528,12,[12]
1201,001534,12,[12]
1211,001544,17,"[33, 17]"
1212,001545,17,"[33, 17]"
1214,001547,15,"[42, 15]"
1215,001548,15,"[42, 15]"
1217,001550,15,"[42, 15]"
1218,001551,15,"[42, 15]"
1219,001552,15,"[42, 15]"
1220,001553,15,"[42, 15]"
1221,001554,15,"[42, 15]"
1222,001555,15,"[42, 15]"
1223,001556,15,"[42, 15]"
1226,001559,38,"[1, 38]"
1273,001607,12,[12]
1300,001634,15,[15]
1301,001635,15,[15]
1304,001638,15,[15]
1306,001640,15,[15]
1308,001642,10,[10]
1310,001644,10,[10]
1313,001649,10,[10]
1314,001652,10,[10]
1319,001661,10,[10]
1321,001663,10,[10]
1324,001666,10,[10]
1329,001671,38,"[38, 30]"
1331,001673,38,"[38, 30]"
1332,001674,38,"[38, 30]"
1335,001677,15,[15]
1336,001678,15,[15]
1338,001680,2,[2]
1339,001681,2,[2]
1340,001682,2,[2]
1341,001683,2,[2]
1342,001684,2,[2]
1343,001685,2,[2]
1344,001686,2,[2]
1345,001687,2,[2]
1346,001688,2,[2]
1347,001689,2,[2]
1359,001701,17,[17]
1360,001702,17,[17]
1361,001703,17,[17]
1362,001704,17,[17]
1363,001705,17,[17]
1364,001706,12,[12]
1378,001720,12,"[58, 12]"
1386,001730,12,"[25, 12, 71]"
1388,001732,38,[38]
1389,001733,38,[38]
1390,001734,38,[38]
1391,001735,38,[38]
1392,001736,38,[38]
1394,001738,38,[38]
1395,001739,38,[38]
1427,001783,12,[12]
1437,001793,12,[12]
1441,001797,12,[12]
1443,001799,12,[12]
1448,001804,12,[12]
1454,001810,12,[12]
1466,001822,12,[12]
1475,001831,12,[12]
1480,001836,12,[12]
1481,001837,12,[12]
1509,001883,12,[12]
1510,001884,12,[12]
1514,001888,12,[12]
1515,001889,12,[12]
1516,001890,12,[12]
1517,001891,12,[12]
1523,001898,12,[12]
1524,001899,12,[12]
1525,001900,12,[12]
1526,001901,12,[12]
1535,001916,17,[17]
1543,001924,17,[17]
1544,001925,17,[17]
1545,001926,17,[17]
1548,001929,38,"[1, 38]"
1549,001930,12,"[98, 12]"
1582,001963,4,"[4, 37]"
1583,001964,4,"[4, 37]"
1584,001965,4,"[4, 37]"
1585,001966,4,"[4, 37]"
1586,001967,4,"[4, 37]"
1614,001995,12,"[45, 12, 53]"
1615,001996,4,"[74, 4]"
1653,002096,38,[38]
1654,002097,17,[17]
1656,002099,10,"[10, 76]"
1677,002125,12,"[25, 12]"
1699,003270,17,[17]
1700,003271,17,[17]
1701,003272,17,[17]
1702,003273,17,[17]
1703,003274,17,[17]
1769,003401,12,"[66, 12]"
1793,003446,20,"[188, 20]"
1796,003449,20,"[188, 20]"
1797,003450,20,"[188, 20]"
1799,003452,15,[15]
1800,003453,15,[15]
1801,003454,15,[15]
1802,003455,15,[15]
1805,003458,15,[15]
1806,003459,9,"[9, 63]"
1807,003460,9,"[9, 63]"
1808,003461,9,"[9, 63]"
1809,003462,9,"[9, 63]"
1810,003463,9,"[9, 63]"
1811,003464,9,"[9, 63]"
1812,003465,9,"[9, 63]"
1814,003467,12,"[25, 12, 111]"
1815,003468,12,"[25, 12, 111]"
1816,003469,12,"[25, 12, 111]"
1817,003470,12,"[25, 12, 111]"
1819,003472,12,"[25, 12, 111]"
1820,003473,12,"[25, 12, 111]"
1822,003475,12,"[25, 12, 111]"
1823,003476,12,"[25, 12, 111]"
1824,003477,12,"[25, 12, 111]"
1825,003478,12,"[25, 12, 111]"
1826,003479,12,"[25, 12, 111]"
1835,003489,12,[12]
1836,003490,12,[12]
1837,003491,12,[12]
1838,003492,12,[12]
1839,003493,12,[12]
1841,003495,12,[12]
1843,003497,12,[12]
1845,003499,12,[12]
1846,003501,12,"[25, 12]"
1847,003502,12,"[25, 12]"
1848,003503,12,"[25, 12]"
1849,003504,12,"[25, 12]"
1850,003505,12,"[25, 12]"
1851,003514,12,[12]
1852,003515,12,[12]
1853,003516,12,[12]
1854,003517,12,[12]
1855,003518,12,[12]
1856,003519,12,[12]
1857,003520,12,[12]
1858,003521,12,[12]
1859,003522,12,[12]
1860,003532,10,"[10, 76]"
1861,003533,10,"[10, 76]"
1862,003534,10,"[10, 76]"
1863,003535,10,"[10, 76]"
1864,003536,10,"[10, 76]"
1865,003537,10,"[10, 76]"
1866,003538,10,"[10, 76]"
1877,003551,12,[12]
1878,003552,12,[12]
1882,003557,15,[15]
1883,003558,15,[15]
1884,003559,15,[15]
1885,003560,15,[15]
1886,003561,15,[15]
1888,003563,15,[15]
1889,003564,15,[15]
1891,003566,15,[15]
1892,003567,15,[15]
1893,003568,15,[15]
1894,003569,15,[15]
1895,003570,15,[15]
1896,003571,15,[15]
1897,003572,15,[15]
1898,003573,15,[15]
1899,003574,15,[15]
1920,003598,17,[17]
1924,003603,12,"[66, 12]"
1925,003604,12,"[66, 12]"
1927,003606,12,"[66, 12]"
1930,003609,12,"[66, 12]"
1955,003638,12,[12]
1987,003681,12,[12]
2002,003696,12,[12]
2004,003698,12,[12]
2012,003707,17,[17]
2013,003708,17,[17]
2025,003720,12,"[58, 45, 12, 53]"
2026,003721,12,"[58, 45, 12, 53]"
2027,003722,12,"[58, 45, 12, 53]"
2028,003723,12,"[58, 45, 12, 53]"
2029,003724,12,"[58, 45, 12, 53]"
2030,003725,12,"[58, 45, 12, 53]"
2032,003727,12,"[12, 31]"
2062,003761,12,"[26, 12]"
2063,003762,12,"[26, 12]"
2064,003763,12,"[26, 12]"
2066,003765,12,"[26, 12]"
2067,003766,12,"[26, 12]"
2076,003775,2,"[2, 117, 46]"
2077,003776,2,"[2, 117, 46]"
2078,003777,2,"[2, 117, 46]"
2079,003778,2,"[2, 117, 46]"
2080,003779,2,"[2, 117, 46]"
2112,003812,12,[12]
2131,003832,17,[17]
2132,003833,12,[12]
2133,003834,12,[12]
2134,003835,12,[12]
2135,003836,12,[12]
2138,003839,12,[12]
2139,003840,12,[12]
2153,003854,12,"[25, 58, 12]"
2154,003855,12,"[25, 58, 12]"
2155,003856,12,"[25, 58, 12]"
2156,003857,12,"[25, 58, 12]"
2157,003859,12,"[25, 58, 12]"
2159,003861,12,"[25, 58, 12]"
2160,003862,12,"[25, 58, 12]"
2161,003863,12,"[25, 58, 12]"
2175,003880,17,[17]
2190,003895,2,"[2, 118]"
2191,003896,2,"[2, 118]"
2197,003904,17,[17]
2198,003905,17,[17]
2199,003906,17,[17]
2200,003908,17,[17]
2201,003909,17,[17]
2202,003910,17,[17]
2203,003911,17,[17]
2204,003912,17,[17]
2205,003913,17,[17]
2207,003915,17,[17]
2211,003919,17,[17]
2212,003920,17,[17]
2213,003921,17,[17]
2215,003923,12,"[66, 12]"
2216,003924,12,"[66, 12]"
2221,003929,12,"[66, 12]"
2224,003932,12,"[66, 12]"
2225,003933,12,"[66, 12]"
2226,003934,12,"[66, 12]"
2228,003936,12,"[66, 12]"
2231,003939,12,"[66, 12]"
2233,003941,12,"[12, 85]"
2234,003942,12,"[12, 85]"
2235,003943,12,"[12, 85]"
2236,003944,12,"[12, 85]"
2237,003945,12,"[12, 85]"
2238,003946,12,"[12, 85]"
2239,003947,12,"[12, 85]"
2240,003948,12,"[12, 85]"
2241,003950,12,"[12, 85]"
2242,003951,12,"[12, 85]"
2243,003952,12,"[12, 85]"
2244,003953,12,"[12, 85]"
2245,003954,12,"[12, 85]"
2246,003955,12,"[12, 85]"
2247,003956,12,"[12, 85]"
2248,003957,12,"[12, 85]"
2249,003958,12,"[12, 85]"
2250,003959,12,"[12, 85]"
2251,003960,12,"[12, 85]"
2264,003973,12,"[12, 85]"
2265,003974,12,"[12, 85]"
2266,003975,12,"[12, 85]"
2267,003976,12,"[12, 85]"
2272,003981,12,"[12, 85]"
2274,003983,12,"[12, 85]"
2276,003985,12,"[12, 85]"
2277,003986,12,"[12, 85]"
2280,003989,12,"[12, 85]"
2286,004004,12,[12]
2295,004013,17,[17]
2296,004014,17,[17]
2299,004017,17,[17]
2319,004037,17,"[17, 103]"
2320,004038,12,"[89, 12, 25]"
2324,004042,12,"[89, 12, 25]"
2325,004043,12,"[89, 12, 25]"
2326,004044,12,"[89, 12, 25]"
2327,004045,12,"[89, 12, 25]"
2332,004066,17,"[33, 17]"
2333,004067,17,"[33, 17]"
2334,004068,17,"[33, 17]"
2335,004069,17,"[33, 17]"
2336,004070,2,"[2, 46]"
2337,004071,2,"[2, 46]"
2338,004072,2,"[2, 46]"
2339,004073,2,"[2, 46]"
2340,004074,2,"[2, 46]"
2341,004075,2,"[2, 46]"
2342,004076,2,"[2, 46]"
2343,004077,2,"[2, 46]"
2344,004078,2,"[2, 46]"
2345,004079,2,"[2, 46]"
2346,004080,2,"[2, 46]"
2350,004084,12,"[58, 12]"
2357,004091,2,"[2, 117, 118, 130]"
2358,004092,2,"[2, 117, 118, 130]"
2359,004093,2,"[2, 117, 118, 130]"
2360,004094,2,"[2, 117, 118, 130]"
2361,004095,2,"[2, 117, 118, 130]"
2362,004096,2,"[2, 117, 118, 130]"
2363,004097,2,"[2, 117, 118, 130]"
2364,004098,2,"[2, 117, 118, 130]"
2365,004099,2,"[2, 117, 118, 130]"
2366,004100,2,"[2, 117, 118, 130]"
2367,004101,2,"[2, 117, 118, 130]"
2368,004102,2,"[2, 117, 118, 130]"
2369,004103,2,"[2, 117, 118, 130]"
2384,004119,12,[12]
2390,004125,12,"[25, 12, 109]"
2391,004126,12,"[25, 12, 109]"
2398,004133,12,"[25, 12, 109]"
2406,004158,12,[12]
2407,004159,12,[12]
2408,004160,12,[12]
2409,004161,12,[12]
2414,004167,12,"[113, 26, 12]"
2417,004170,12,"[25, 27, 12]"
2419,004172,12,"[25, 27, 12]"
2423,004176,12,"[25, 27, 12]"
2428,004181,12,"[25, 27, 12]"
2433,004186,12,"[25, 27, 12]"
2440,004193,12,[12]
2441,004194,12,[12]
2442,004195,12,[12]
2444,004197,12,[12]
2445,004198,12,[12]
2448,004201,12,[12]
2449,004202,12,[12]
2461,004214,12,"[66, 12]"
2462,004215,12,"[66, 12]"
2463,004216,12,"[66, 12]"
2464,004217,12,"[66, 12]"
2465,004218,12,"[66, 12]"
2466,004219,12,"[66, 12]"
2479,004232,2,"[2, 92, 102]"
2480,004233,2,"[2, 92, 102]"
2481,004234,2,"[2, 92, 102]"
2482,004235,2,"[2, 92, 102]"
2483,004236,2,"[2, 92, 102]"
2486,004239,2,"[2, 92, 102]"
2509,004264,12,"[25, 12]"
2512,004267,12,"[25, 12]"
2520,004275,12,"[25, 12]"
2521,004276,12,"[25, 12]"
2527,004284,12,[12]
2528,004285,12,[12]
2530,004297,12,"[12, 85]"
2531,004298,12,"[12, 85]"
2532,004299,12,"[12, 85]"
2533,004300,12,"[12, 85]"
2535,004302,12,"[12, 85]"
2542,004309,12,"[12, 85]"
2543,004310,12,"[12, 85]"
2544,004311,12,"[12, 85]"
2545,004312,12,"[12, 85]"
2546,004313,12,"[12, 85]"
2548,004316,12,"[12, 85]"
2549,004330,12,[12]
2551,004332,12,[12]
2552,004333,12,[12]
2558,004346,12,[12]
2560,004348,12,[12]
2563,004363,12,[12]
2568,004368,12,[12]
2590,004391,12,"[25, 12, 85, 111]"
2593,004394,12,"[25, 12, 85, 111]"
2595,004396,12,"[25, 12, 85, 111]"
2599,004400,12,[12]
2600,004401,12,[12]
2602,004403,12,[12]
2606,004407,12,[12]
2607,004408,12,[12]
2608,004409,12,[12]
2609,004410,12,[12]
2631,004432,12,"[89, 12, 25]"
2642,004443,12,[12]
2643,004444,17,[17]
2644,004445,17,[17]
2645,004446,17,[17]
2648,004450,17,[17]
2660,004463,12,"[25, 12]"
2663,004466,12,"[25, 12]"
2665,004468,12,"[25, 12]"
2666,004469,12,"[25, 12]"
2681,004484,12,"[25, 12, 109]"
2687,004490,12,"[25, 12, 109]"
2689,004492,12,"[25, 12, 109]"
2696,004499,12,[12]
2703,004507,2,"[2, 77]"
2704,004508,2,"[2, 77]"
2705,004509,2,"[2, 77]"
2706,004510,2,"[2, 77]"
2707,004511,2,"[2, 77]"
2714,004519,15,[15]
2715,004520,15,[15]
2716,004521,15,[15]
2717,004522,15,[15]
2724,004536,3,[3]
2725,004537,3,[3]
2726,004538,3,[3]
2727,004539,3,[3]
2728,004540,3,[3]
2742,004682,21,[21]
2743,004683,21,[21]
2744,004684,21,[21]
2745,004685,21,[21]
2746,004686,21,[21]
2747,004687,21,[21]
2748,004688,21,[21]
2749,004691,15,[15]
2750,004692,15,[15]
2753,004695,15,[15]
2756,004698,15,[15]
2757,004699,15,[15]
2758,004700,15,[15]
2759,004701,15,[15]
2760,004702,15,[15]
2761,004703,4,"[97, 4]"
2762,004704,4,"[97, 4]"
2763,004705,4,"[97, 4]"
2767,004709,12,"[58, 12]"
2768,004712,12,"[58, 12]"
2796,004752,12,"[58, 12]"
2798,004754,38,"[1, 38]"
2799,004755,38,"[1, 38]"
2800,004756,38,"[1, 38]"
2801,004757,38,"[1, 38]"
2803,004759,12,[12]
2804,004760,12,"[66, 12]"
2805,004761,12,"[66, 12]"
2806,004762,12,"[66, 12]"
2807,004763,12,[12]
2808,004764,12,"[66, 12]"
2809,004765,12,[12]
2810,004766,12,[12]
2811,004767,12,"[66, 12]"
2812,004768,12,[12]
2813,004769,12,"[66, 12]"
2815,004771,12,"[66, 12]"
2821,004777,12,[12]
2822,004778,12,[12]
2823,004779,12,[12]
2824,004780,12,[12]
2825,004781,12,[12]
2826,004782,12,[12]
2827,004783,12,[12]
2828,004784,12,[12]
2829,004785,12,[12]
2830,004786,12,[12]
2831,004787,12,[12]
2832,004788,12,[12]
2835,004791,12,[12]
2837,004793,12,[12]
2842,004798,12,[12]
2843,004799,12,[12]
2844,004800,12,[12]
2845,004801,12,[12]
2846,004802,12,[12]
2847,004803,12,[12]
2857,004835,12,[12]
2858,004836,12,[12]
2859,004837,12,[12]
2860,004838,12,[12]
2861,004840,12,[12]
2862,004841,12,[12]
2864,004846,2,"[2, 102]"
2866,004848,2,"[2, 102]"
2867,004849,2,"[2, 102]"
3009,004996,12,"[25, 12, 85]"
3012,004999,12,"[25, 12, 85]"
3015,005002,12,"[25, 12, 85]"
3016,005003,12,"[25, 12, 85]"
3018,005006,12,"[25, 12, 85]"
3019,005007,12,"[25, 12, 85]"
3020,005009,8,[8]
3022,005012,8,[8]
3023,005013,8,[8]
3024,005014,8,[8]
3025,005015,8,[8]
3026,005016,8,[8]
3027,005017,8,[8]
3028,005018,8,[8]
3029,005019,8,[8]
3030,005020,8,[8]
3031,005021,8,[8]
3032,005022,8,[8]
3033,005023,8,[8]
3034,005024,8,[8]
3036,005026,8,[8]
3039,005029,8,[8]
3041,005031,8,[8]
3042,005032,8,[8]
3043,005033,8,[8]
3052,005043,8,[8]
3053,005044,8,[8]
3095,005104,12,[12]
3096,005106,4,[4]
3097,005107,4,[4]
3098,005119,4,[4]
3099,005120,4,[4]
3102,005140,17,[17]
3103,005141,17,[17]
3107,005147,12,"[66, 12]"
3108,005148,12,"[66, 12]"
3109,005149,12,"[66, 12]"
3110,005151,12,"[66, 12]"
3111,005152,12,"[66, 12]"
3112,005153,12,"[66, 12]"
3114,005156,17,[17]
3115,005157,17,[17]
3116,005158,17,[17]
3117,005159,17,[17]
3118,005160,12,[12]
3120,005162,12,[12]
3126,005169,17,[17]
3127,005170,17,[17]
3128,005171,17,[17]
3155,005219,12,[12]
3156,005220,12,[12]
3157,005221,12,[12]
3158,005222,12,[12]
3159,005223,12,[12]
3160,005224,12,[12]
3161,005226,12,[12]
3162,005227,12,[12]
3174,005264,21,[21]
3175,005265,21,[21]
3177,005267,21,[21]
3178,005268,21,[21]
3179,005269,21,[21]
3180,005270,21,[21]
3183,005273,12,[12]
3192,005283,12,[12]
3193,005284,12,[12]
3194,005285,12,[12]
3195,005286,12,[12]
3223,005337,15,"[185, 15]"
3224,005340,15,"[185, 15]"
3225,005341,15,"[185, 15]"
3226,005342,15,"[185, 15]"
3227,005343,15,"[185, 15]"
3228,005344,15,"[185, 15]"
3229,005345,15,"[185, 15]"
3230,005346,15,"[185, 15]"
3231,005348,15,"[185, 15]"
3232,005354,15,"[185, 15]"
3234,005371,15,"[185, 15]"
3236,005376,17,[17]
3237,005377,17,[17]
3238,005378,17,[17]
3239,005379,17,[17]
3240,005380,17,[17]
3241,005381,17,[17]
3246,005399,12,"[58, 12]"
3259,005440,15,"[185, 15]"
3268,005521,38,"[224, 38]"
3269,005531,38,"[224, 38]"
3270,005533,38,"[224, 38]"
3271,005534,38,"[224, 38]"
3272,005535,38,"[224, 38]"
3308,005879,17,"[17, 94]"
3318,005936,17,"[17, 103]"
3319,005939,17,"[17, 103]"
3320,005940,17,"[17, 103]"
3350,006274,12,"[25, 12, 71]"
3351,006275,12,"[25, 12, 71]"
3352,006276,12,"[25, 12, 71]"
3354,006329,2,"[2, 118]"
3355,006330,2,"[2, 92]"
3357,006332,2,"[2, 118]"
3359,006342,2,"[2, 102]"
3360,006354,2,"[2, 92]"
3362,006357,2,"[2, 118]"
3364,006360,2,"[2, 118, 102]"
3367,006366,2,"[2, 102]"
3368,006367,2,"[2, 92]"
3371,006370,2,"[2, 118]"
3373,006373,2,"[2, 118, 102]"
3377,006379,2,"[2, 92]"
3379,006381,2,"[2, 118]"
3380,006382,2,"[2, 118]"
3381,006383,2,"[2, 118, 102]"
3383,006387,2,"[2, 118]"
3385,006389,2,"[2, 92]"
3388,006393,2,"[2, 102]"
3389,006394,2,"[2, 118]"
3391,006396,2,"[2, 118]"
3401,006406,17,"[33, 17]"
3402,006407,17,"[33, 17]"
3407,006439,21,[21]
3408,006440,21,[21]
3409,006442,21,[21]
3410,006443,21,[21]
3411,006448,21,[21]
3413,006459,2,"[2, 102]"
3421,006469,2,"[2, 118, 102]"
3426,006517,12,[12]
3427,006519,12,[12]
3428,006520,12,[12]
3429,006522,12,[12]
3430,006523,20,[20]
3431,006524,12,"[66, 12]"
3432,006525,12,"[66, 12]"
3433,006527,12,"[66, 12]"
3434,006528,12,"[66, 12]"
3435,006529,12,"[66, 12]"
3436,006530,12,"[66, 12]"
3437,006532,12,"[66, 12]"
3438,006533,12,"[66, 12]"
3439,006534,12,"[66, 12]"
3440,006536,12,"[66, 12]"
3441,006537,12,"[66, 12]"
3452,006584,20,[20]
3458,006592,20,[20]
3467,006603,21,[21]
3469,006605,21,[21]
3470,006606,21,[21]
3471,006607,21,[21]
3472,006608,21,[21]
3473,006609,21,[21]
3474,006610,21,[21]
3475,006611,21,[21]
3476,006627,12,"[12, 45]"
3478,006630,12,"[12, 45]"
3479,006631,12,"[12, 45]"
3480,006632,12,"[12, 45]"
3481,006633,12,"[12, 45]"
3482,006635,12,"[12, 45]"
3484,006637,4,"[97, 4]"
3487,006640,4,"[97, 4]"
3489,006654,15,[15]
3490,006655,15,[15]
3491,006656,15,[15]
3492,006657,15,[15]
3493,006658,15,[15]
3494,006660,15,[15]
3495,006661,15,[15]
3496,006662,15,[15]
3497,006663,15,[15]
3498,006664,15,[15]
3499,006666,15,[15]
3502,006669,12,"[58, 12]"
3504,006671,12,"[58, 12]"
3505,006672,12,"[58, 12]"
3506,006673,12,"[58, 12]"
3507,006674,38,"[32, 38]"
3508,006675,38,"[32, 38]"
3510,006677,38,"[32, 38]"
3512,006679,38,"[32, 38]"
3513,006680,38,"[32, 38]"
3517,006684,38,"[32, 38]"
3520,006716,12,"[12, 45, 53, 90, 31]"
3521,006717,12,"[12, 45, 53, 90, 31]"
3522,006718,12,"[12, 45, 53, 90, 31]"
3523,006719,12,"[12, 45, 53, 90, 31]"
3536,006734,12,"[12, 45, 53, 90, 31]"
3537,006735,12,"[12, 45, 53, 90, 31]"
3538,006752,15,[15]
3539,006753,15,[15]
3541,006755,15,[15]
3543,006757,15,[15]
3544,006758,15,[15]
3545,006759,15,[15]
3546,006760,15,[15]
3547,006761,15,[15]
3551,006765,15,[15]
3556,006770,15,[15]
3562,006776,12,"[12, 101, 31]"
3563,006777,12,"[12, 101, 31]"
3564,006778,12,"[12, 101, 31]"
3574,006788,12,[12]
3588,006802,2,[2]
3589,006803,2,[2]
3599,006831,12,"[58, 12]"
3600,006832,12,"[58, 12]"
3611,006850,12,"[58, 12]"
3613,006854,17,[17]
3614,006855,17,[17]
3615,006856,17,[17]
3616,006857,17,"[33, 17]"
3618,006859,17,"[33, 17]"
3631,006880,20,"[188, 20]"
3689,007121,17,[17]
3691,007123,17,[17]
3724,007208,12,[12]
3726,007210,12,[12]
3727,007211,12,[12]
3729,007213,12,[12]
3730,007259,12,"[58, 12, 85]"
3733,007262,12,"[58, 12, 85]"
3809,007450,12,[12]
3810,007451,12,[12]
3811,007452,12,[12]
3812,007453,12,[12]
3814,007455,12,[12]
3815,007456,12,[12]
3816,007457,12,[12]
3818,007459,12,[12]
3819,007460,12,[12]
3834,007475,12,"[66, 12]"
3840,007481,21,[21]
3841,007482,21,[21]
3842,007483,21,[21]
3843,007484,21,[21]
3844,007485,21,[21]
3845,007487,21,[21]
3846,007488,21,[21]
3847,007489,21,[21]
3848,007490,21,[21]
3849,007491,21,[21]
3850,007492,21,[21]
3852,007494,12,"[89, 12, 25]"
3853,007495,12,"[89, 12, 25]"
3856,007498,12,"[89, 12, 25]"
3860,007502,12,"[89, 12, 25]"
3863,007526,10,[10]
3864,007527,10,[10]
3865,007528,10,[10]
3866,007529,10,[10]
3877,007548,38,"[1, 38]"
3878,007549,38,"[1, 38]"
3879,007550,38,"[1, 38]"
3880,007551,38,"[1, 38]"
3881,007552,38,"[1, 38]"
3882,007553,38,"[1, 38]"
3883,007554,38,"[1, 38]"
3884,007555,38,"[1, 38]"
3885,007556,38,"[1, 38]"
3908,007709,17,"[17, 103]"
3909,007710,17,"[17, 103]"
3910,007711,17,"[17, 103]"
3911,007712,17,"[17, 103]"
3912,007713,17,"[17, 103]"
3913,007714,17,"[17, 103]"
3933,007777,12,"[12, 45, 53, 90, 31]"
3934,007778,12,"[12, 45, 53, 90, 31]"
3935,007779,12,"[12, 45, 53, 90, 31]"
3936,007780,12,"[12, 45, 53, 90, 31]"
3937,007781,12,"[12, 45, 53, 90, 31]"
3938,007782,12,"[12, 45, 53, 90, 31]"
3969,007864,12,"[25, 12]"
